央视频道,#genre#
CGTN西班牙语,http://110.42.52.180:6688/live/zb.php?token=ZY-7dcbHjrolK0NMSAWdemPGTD%2BJL0vjiPa9aHr8kGDXiXfSr0Sawp1vs9Z07EJOUOaKz9HvVvvf3dd&zy.m3u8
CGTN法语,http://110.42.52.180:6688/live/zb.php?token=ZY-302dL0UFE%2B5b9kuAWFobd1oa3jYT/M1vh8QZZbMDS/98BGyBGVDyGDMV%2Bn5NQmc8RjeH%2BBEFNw&zy.m3u8
CGTN俄语,http://110.42.52.180:6688/live/zb.php?token=ZY-95b49qpF/S1Wi7/giw0qoASM1PD2EmQ/53byhKstfJPfoT4epchECqwkYfANjezoy3TE15b42g&zy.m3u8
CGTN,http://110.42.52.180:6688/live/zb.php?token=ZY-4eeazyYLBM3mGZO95ZnumtzHcSYVqFVozWHwRuSPJqmQN0dWWm%2BPYwk7SyH06L2i8bBPZgA&zy.m3u8
CCTV4K,http://110.42.52.180:6688/live/zb.php?token=ZY-0581%2BJJ6Wf%2Byvf02MyQchSAe0DTV/JhznnkLjawX0w8WE79V3ZQLrgkEs/CDWisKKYufD0VUOw&zy.m3u8
CCTV8K,http://110.42.52.180:6688/live/zb.php?token=ZY-8215/Bv8Q%2BXJTylBWRxYQCCLg51ku0VLYhGupPuvppVVA6tiqDJC5o1rBypmVxRZQ4BGJwCzlg&zy.m3u8
CCTV风云剧场,http://110.42.52.180:6688/live/zb.php?token=ZY-8bbb19Xv/QQN3Zzp1mMiQwU8eDAJk4wiUYLR6jTcakZh6EFeulc2ASGx7FxAvDwEStAzjZy4kScfX2w&zy.m3u8
CCTV第一剧场,http://110.42.52.180:6688/live/zb.php?token=ZY-50f3aQGzrHQzue4lWHTHYdiq5kf3XVMKCOmajDqBFFinlgCOvJDF4YYBbN9YnhrX%2BKkk9Lx14bwR85M&zy.m3u8
CCTV怀旧剧场,http://110.42.52.180:6688/live/zb.php?token=ZY-8accEFfUbEzPdSNS7V%2BnDW4p5UC/XxcI80f/8BgK%2B9D8vf93JIypzF6W2Kjk55fJs/aiXOkr3RLJ24Y&zy.m3u8
卫视频道,#genre#
浙江卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-8c91cxYBQu5YCldckjl3iGhFjt0M3MfM/9R%2B131N7C4w6bOpgS4spvTsx3Xf9lDpvKGe9rg&zy.m3u8
北京卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-de60wgzoXaGei7q2JYZx2s8gACHW6FDG8rCyMsE8LcY0mdpeip6D0hMmw0tJsgvI8o9Q9I0&zy.m3u8
湖南卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-4c16gnTwSW5Ig6pC/NbjXbfREU42QaiYd9G2jL/VnlA7ipX1b33fKnpzDEo337qLA3lNck%2Bd&zy.m3u8
江苏卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-05faiKKlMIBQBJdsU5b2IPyvdtP/v8emdqvilxUFW7WfZrUWR7n9IexBklm5HIWka6CjfKQ&zy.m3u8
东方卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-4920Y17M/dcINQo/o7PXmAz5vJeBAmpPwsoKPiVIU15W2ku6WER519Xe2yyZm4FiVH4v3zg&zy.m3u8
山东卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-2910qJ1i7M7WjRvciKv3NhpnIFvEK0r6QjQs416PjJgitCcEhPwaZcdf8WxsZEjYF7/DmwY&zy.m3u8
广东卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-d93dblXSC54NbCPLK3FQBcCqWSZapGV94jO1OE0IOWqkLFWaY4Jd4FqfZl9oUxmOJpwS1vY&zy.m3u8
江西卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-e4b3joYvCwCq7sy6Oz0I7QmzE3GPOIqOBdDfqXwie9ojdtaAhGce5Ijbv36x%2BOOKuHp3PbQ&zy.m3u8
河南卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-121b7Ol3bgKM1VvNMV9B4/iFEzLD%2Bj9bmd%2Betgo8frbWZEDloUUTb7EokGL5VO35yuXfGuwC&zy.m3u8
湖北卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-8320YfTIlDGiViqupkjCJ4UEhGj39nUTiMMr3k%2BTP9FT8qXuIiwdFTg956AwCAewEuemQ0h7&zy.m3u8
吉林卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-054bXsG%2BEHxBSCkmY1dCtDdwGlkM0PttiB8kK84lxsMmkRuQgRzN3MKwmc6BXmpoG2w8pyc&zy.m3u8
青海卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-39e4MdhpNwl94qTmA0nJzlezjhvfgl9wmU%2BGTW0lxNKiB9wDOLcHADTTdtESwV7wOSHtL8w&zy.m3u8
海南卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-93d7rWqWkPIqOl8O07ue36CiwZ963FKMGSm/ytEtbUACdO6iqejQR0VHN5xCDgk3Oc5xp/0cBg&zy.m3u8
辽宁卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-f5a4VR06JXSdyYoR57xi5syYW2fpAz905MCuDxFkMBobFEG73Z16rWk9YSciPyQqgJ9iIPM&zy.m3u8
宁夏卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-21872VqRehl93%2Bw1hJLZYfB7B0VMozrDia0SsbcuTAZI%2BjoFOOpU18cyeKcBeyQc%2BiZ5r20&zy.m3u8
重庆卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-72d4d%2BW66zndqR8IlMwzhKVZ3l9mplZz5f3ts%2Ba1dHU9M119qEKA42PGwsWml%2B53hTEEcb8&zy.m3u8
东南卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-755514jQdFT9xlGch%2BImlQsb/tSoUhsdEWZ9/aRb/bTdUhob%2BRUBkhM2MlQpAmXcgoiOFbQ&zy.m3u8
大湾区卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-1a66bkdNv9bsjImQfMKiLZ3buP2ZRMI8Ex9Hzj0Bzkp2JhSLbFXTbu8KIhZMm/Mzmp3FYepb&zy.m3u8
三沙卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-c22cD1cVojm0OBif2kkIOXDRZreLm8ZT55VXdw8IBkKhTZrhOz9KU5auZJq8wmJoQgcgPxI&zy.m3u8
嘉佳卡通,http://110.42.52.180:6688/live/zb.php?token=ZY-bac8cG5QBSIKoM1cbijPhgmg8HRYdbC26B%2BXtxlNXPU08AL6UsidL8hWgZ/EijbF1cj/0Qk&zy.m3u8
优漫卡通,http://110.42.52.180:6688/live/zb.php?token=ZY-0bddVII5X2PUn0AEjj2LWf07P1p8kiFHUKP03eBf/jlk/BHKWhSKI4Ui2NaJ36v/a0WPYEs&zy.m3u8
江苏教育,http://110.42.52.180:6688/live/zb.php?token=ZY-52f1iU9Tl7Sx9q1tLp%2B4s%2B8ZvlPEO2VIodXj3iTAiMGR/f5U7zKtwhUn0fHYP2fkfYNtyHQ&zy.m3u8
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
兵团卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-a52arETUMDafkFSKY9ew53yS9vcfL1ZQo5rLFWil2U90t3t6HXcROqcQ4HKyZzZaeX7fkaw&zy.m3u8
河北卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-212b%2BOzzkcntKEvb0eTV/kOUyEpz0DWnoUhuSdcDKtZoL6VGk3LDYWy5yw2DpLhgGkLebGHb&zy.m3u8
黑龙江卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-b597qSQ/MSqiiPZTYoNe0hR3Yiqv8QDpmGFXcibj0mSQiuhI1%2BOTnXInMVRxE5HThH8CZYOk&zy.m3u8
延边卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-0346cEGhAFnwumSRYZzaJE1WqR1yrx5tAjutOdWWvQsC6R7UsJBnFGIcgqe42lUMQ%2BFsL4k&zy.m3u8
西藏卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-a73eeemyXCLvAWcTwZLFE%2BbjRFUp43YUkHIBaRU0YSfPT8CpW57YJIcu0rlqcDtsgc3WguI&zy.m3u8
西藏藏语卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-3fd9sw88fodQUnHAgCPiqfoIzFLBWsv/rQOA1xQu/q2XjiO2rZehjNrocexQ7yJusiJ7jg8&zy.m3u8
山西卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-e96fcq%2BLCh0IqrWADa9kfG/x3raoFAVnW/cZ9PIY2biS4Z6cIRy/GXI33/QkRmWRcz0ZvDM&zy.m3u8
陕西卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-31c8x5PembCzI/wJh9TRQWZkK45o8WQJruY83p1wzfWuo5SYgxH2f%2B1ePTnpEuI/Q7eggE9Vi7w&zy.m3u8
农林卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-8879tZbrEi1C3Zlr6ZASTyZV3SLsMC8yxJiUBK3Bn47ukcCT7xDyoRDMoHRPKQCQhzBNAgk&zy.m3u8
内蒙古卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-236fPJtiDPHNKsAGTIf0VXdJgEV7bNYag41ZDK%2B7VxNvaiMnxVDk1QGiW4Q9h6hwXnouLMoz&zy.m3u8
内蒙古蒙语卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-e6cbSDhQXHffilShAmnEVPR3dHn5irW5tJDUWtS3SYyR4E8DIppsrowEHyIcWYkO1qZDifpgTQ&zy.m3u8
海峡卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-d966Ee12hxAlo6RsatGST2b0hZ0cvZfd69S5Uo7MIvw4xIo2AfGVmwF%2BSiu1wRdRR39stCU&zy.m3u8
厦门卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-cb17qBkL9ny/M4vDxiI4cxC5jCCVsRTVaDGuxDrYeBexMgkm4gsV1zKumz3nbTONZHjDvlg&zy.m3u8
甘肃卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-42a9g3iqIC1Da%2BhwZ9FQ0l%2BF3eBaUnEu6mViNRJRA4kbX%2BrFY9n4nzm9lF18BmuDz7mnkIw&zy.m3u8
新疆卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-aa348UGUG9UAxYoRtvlX05JYLiYEyZn2QVionRX6Bgdsj4by78UxEr5hGMzrtW6A/eoAjOg&zy.m3u8
云南卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-73bfnORYPMLmPh/3Xe8/sR0NOoWJxweiwGEm/YpsAzndpr30wDp1chvWVmGRwMuyj7NF6RM&zy.m3u8
深圳卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-9760a2pzHVQrHIKwMZiXxXbBA9PIfTz2mcU%2B3GuMfuIf6Q6VcRRZtTSOOX3NrrTJKoA8dJs&zy.m3u8
天津卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-d762Prh4Pyrcw2RyhX1IYOdLIey/aJ1Xjg4O7NUS7fqGmIL86oXXysk4MfL7L2/j30ziF34&zy.m3u8
安徽卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-b948yTOWreN7dvqmxMMY1tXFTkoXRP2OU5slPX%2BC0MhBqddyR0hIq3M1SfvgH9CykjaphHI&zy.m3u8
广西卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-9928E8xkNUTIf2vSu3H0l9Veqi781sVTTHwL3SzWXw%2B32fu8977IEKOspeMIkmR4ncrVu%2Bw&zy.m3u8
四川卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-d100HBVS0bWfKkRWWkEOJeVWDZaxbbS3rb9nL4qQlrlgd5WudZjzXfMCKa/OlLQqmTAJuWc&zy.m3u8
贵州卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-9da9XFDdXVEoxf1u1McOv3R1nhxzrwSH1ZKv9AYaSPxNWTZFtMYN1XJGrYK2TjkwNFieslE&zy.m3u8
青海安多卫视,http://110.42.52.180:6688/live/zb.php?token=ZY-52a75GfwZcy3GXRaarsytdsgoHnyegiz197bGeP0xxbtOjhL89JO1u%2BXdIb6uXvq8mdtWfhZKg&zy.m3u8
地方频道,#genre#
浙江钱江,http://110.42.52.180:6688/live/zb.php?token=ZY-6170TvN77ObryFz0o9tx0GjrA4H%2BNtt9fMhSY9rnKd46fDSQOyntVW6w5YDk70a5aAOlsAU&zy.m3u8
浙江经济生活,http://110.42.52.180:6688/live/zb.php?token=ZY-c551jdDFz%2B4a5s13sYwMR13CeuLBssPGOe7JlFMFZCeKhcH%2Bf%2B5S2bLE8hjPpZxaBYnRC6yr0g&zy.m3u8
浙江教科影视,http://110.42.52.180:6688/live/zb.php?token=ZY-4de2JaVbF7GQgJRvbJPkrkeSuw4cFiSN1BzubDrm9oUvnPqAjJNFZ0CbBQ5e1DTENLVl7jKn8w&zy.m3u8
浙江民生休闲,http://110.42.52.180:6688/live/zb.php?token=ZY-ed87sIsnGTtiBIZG3/nk05QXLYzWEezkcQcVkE68Sw8h6IorUKDaVA97do7kDNPTt%2B8s2JlHXQ&zy.m3u8
浙江新闻,http://110.42.52.180:6688/live/zb.php?token=ZY-7b23CWHTcO0mftUdyHpCxXlOGpdyzK61EAyN7WaY%2BVqUit1yU2kIC86WMfR6RsWbpILWHnM&zy.m3u8
浙江少儿,http://110.42.52.180:6688/live/zb.php?token=ZY-8e35pBXew7f%2BTHed/yMBmn1UzAh7PM5M2wD8Zv44X5WQy/oItG4Ei4E2SsLMAOhblVCGaqU&zy.m3u8
浙江国际,http://110.42.52.180:6688/live/zb.php?token=ZY-cf83LL0x%2Bux3f8WEMfhGCOYoUfieUrQwdo7bZ4eLucmjMUOVXNmaeF1aIVu%2BNAiiRJL08Qg&zy.m3u8
浙江好易购,http://110.42.52.180:6688/live/zb.php?token=ZY-0553nX6qp6X6CXqRhTmdI7aIM%2B32nrjT9vL64AtmvYzGaGI9o%2BLYtzvvuiWIqtW2V60abkFp&zy.m3u8
浙江之江纪录,http://110.42.52.180:6688/live/zb.php?token=ZY-bb19T1Mt63lbSeOa4TVfzZVpeMi0a29n13vWl/dEu%2BJ/A0sl%2BdCOYTQ6PZr3BXTg5DztFlCvlg&zy.m3u8

湖南经视,http://110.42.52.180:6688/live/zb.php?token=ZY-616csOz7X3mGaSd2%2Bn9XUcrIp2kuraLhuRP8bKqchms/2Tu4YqmD9V5stRmhFsmDC0tQ01W2&zy.m3u8
金鹰卡通,http://110.42.52.180:6688/live/zb.php?token=ZY-2d92/xEEQy6gX7ydNVmslGVHaRTMO97m6pLJvy4pF0ulrEs6nWK9I4vT8CIOR2YJcwtkVQo&zy.m3u8
金鹰纪实,http://110.42.52.180:6688/live/zb.php?token=ZY-59424J4xv5rfCP%2B9sWpSvXY0d4NeTwdBx52Uhf7qZ3L/XaGbrSWFV/DkJ0UazpHuhLw9UJU&zy.m3u8
快乐垂钓,http://110.42.52.180:6688/live/zb.php?token=ZY-ac343NaQxcHXURZ9wQh5rCkWDEHV89zKQvFa%2BnIr8fGoJ4UeKfAz8ID3/AfUTGEE0sHuenI&zy.m3u8
先锋乒羽,http://110.42.52.180:6688/live/zb.php?token=ZY-88barsDncuxh4bfowcPlHXlgGCsZXvXuWpsc//r9Dj9KsqKmbw7E1dZrCUA4%2BMZcp%2Br1qv8&zy.m3u8
湖南都市,http://110.42.52.180:6688/live/zb.php?token=ZY-77bchPdWwG8/Ecq%2BGTvL/7xcsDl3ViZO3hF844VykYBd/Hr3V2YPIFz8fF1B7n0tSd0jfvpe&zy.m3u8
湖南电视剧,http://110.42.52.180:6688/live/zb.php?token=ZY-5064okfE%2B/7sULAZYWGvozO5lqHAgLec6QvZgw1XpZWeYC9pxnX0NIPV6ASI3bTEoKB%2BsKnF&zy.m3u8
湖南公共,http://110.42.52.180:6688/live/zb.php?token=ZY-70a6RBlBiJYF8x%2ByA2aciIHjFKr6YnX1s2TeppZ7YqturUBUBMn4VcqzjmaiAs0o6wkd4sHL&zy.m3u8
湖南国际,http://110.42.52.180:6688/live/zb.php?token=ZY-53a7vUHHH6EB9yBu2vXCF44GETdDJMQrTIsiXWVMMT5jkDjOV3127CcFjasjevn1/EqcCROt&zy.m3u8
湖南娱乐,http://110.42.52.180:6688/live/zb.php?token=ZY-767b0rNtjG2ecPFTDCIfvQ/DsuI2LDDVIu%2BilLjQlHpXQTSQ%2Bg4uDAruRp0dMFJWzANozEVe&zy.m3u8
湖南快乐购,http://110.42.52.180:6688/live/zb.php?token=ZY-1f97CxnJd/%2BMFXJSSAzSbSbgPlmfSwBjPfk%2Bvco9Esr0pFfu9dZT8dwATDPTr%2Bpny3%2Buww&zy.m3u8
湖南茶频道,http://110.42.52.180:6688/live/zb.php?token=ZY-153d8hqaDu%2BEGbbbBN6vaWXUEVQBAzl/iVJ5UlBjfEXpmK%2BjTApsAMrUzNwy0TYnQmUr7Q&zy.m3u8
湖南电影,http://110.42.52.180:6688/live/zb.php?token=ZY-b6e1JxQHDShtmYsxC27hLpjPtxS6Bm8Phj00pfCnExoh1veHkSk%2B16M1uV06o51pwCKiPGU&zy.m3u8
长沙新闻,http://110.42.52.180:6688/live/zb.php?token=ZY-5164ILauBOHobYooixOrh%2BcPm36SD6/jv%2BIk6WcGuk5j3bb%2BAPxsnRdEemqdkVjGNgE14I4&zy.m3u8
长沙政法,http://110.42.52.180:6688/live/zb.php?token=ZY-4301lWWo/0Q3Jh5CXYRjsKxp8oFPi%2B9jsLzRYLjx5Pg9vhuw9uFuK4KKHY7hMQLeM9KrZI0&zy.m3u8
长沙女性,http://110.42.52.180:6688/live/zb.php?token=ZY-9a3dbzdOsHt3SUfroDLgj%2BiA4xp3Y2VBBdGz4vHaF01w/Zxi0QwUgYypMGLh/lUj%2BIZJHIA&zy.m3u8
CETV1,http://110.42.52.180:6688/live/zb.php?token=ZY-e44dZw1yChAB/b8cGgFJ1N9N8IY/PVMR3wb%2B%2Bf0vKhrpwMVSL8wzhkC8jioZ5mUu3GOrX8lE&zy.m3u8
CETV2,http://110.42.52.180:6688/live/zb.php?token=ZY-1d9dS9SumMR0BwIdNokwr4S5phmwloAHGmStYglem8xn7%2BdPGxFfMdFKzlJE/%2BvJCj016KC/&zy.m3u8
CETV4,http://110.42.52.180:6688/live/zb.php?token=ZY-8d21Sf7jEHRJqF11xYaxGPANabhmkYNSOzSaq2yqKSvggZ/u6vonBFQ7aBOwwjdqiilWrBYR&zy.m3u8

上海新闻综合,http://110.42.52.180:6688/live/zb.php?token=ZY-09e2Oo4Qfv3WAIpodIynNt4Dm/1zB%2B6S63nd72o7GXdoBYMBgtuBEY99BKhDld4of4k0R7Ou%2BQ&zy.m3u8
上海新纪实,http://110.42.52.180:6688/live/zb.php?token=ZY-eec8HQnpqBGJ3WMfcB40hKLNwsIzAaYuQD3SZwwn1lSfgQ4nyFH0RHgtnhLOKRhLhoT0/0Ht&zy.m3u8
上海魔都眼,http://110.42.52.180:6688/live/zb.php?token=ZY-722ahk3dvuGnJy1KbwNpQqFs1rS2ud3iDlaIt%2B8OUMWdNQFgoVrJKYQ3Hk7JYt/GpSzysize&zy.m3u8
上海第一财经,http://110.42.52.180:6688/live/zb.php?token=ZY-a250WMrnc941wI7n1FoBdpDJ9A1m6mx5Z7Io1j4EaIoFsSg5kR/aRmR8YE7ojP8Vz7bQpjYtFw&zy.m3u8
上海都市频道,http://110.42.52.180:6688/live/zb.php?token=ZY-1f92HRatRP4LGRgSgSs3d1oWy9ETQ5wg6xVL8%2BG79NH8uuscZ3bdR1gd97QX3G7dUUVVgdKRrg&zy.m3u8
上海五星体育,http://110.42.52.180:6688/live/zb.php?token=ZY-4097OoSzrNExo/%2B0C9TuzwxBXFjyn1aWhAK9jin2P7K8BruExgEcZz59oRXnmsJlUGIgIFtnCA&zy.m3u8
东方财经,http://110.42.52.180:6688/live/zb.php?token=ZY-e3a7c2UF4Z2Jj%2B79LVOucqQtzuk/HLRte4f0cRtfUs5wmB5EyNF31q2T0UHsV7TQiZt584w&zy.m3u8
上海生活时尚,http://110.42.52.180:6688/live/zb.php?token=ZY-28b5i2jc4a%2BaWZzmrfLARqOUSFCLYbdsXwlrTjwWPATsb55/Bvt4QVrC/doixtfmXqx8L80&zy.m3u8
金色学堂,http://110.42.52.180:6688/live/zb.php?token=ZY-f3c9N8it0zRQWtOfWFvE7wOa1HAOh4OBLgetr83U1a/zho%2BqvuX7zrZfTwDbk1nz3TL/Upc&zy.m3u8
上海教育,http://110.42.52.180:6688/live/zb.php?token=ZY-91c0ojwTjsm%2Be2DCiR9yVJFE7WVu%2BRp%2BQY25pZeH0nvtXretkxom2LXhyf6dgg01Zi5ElzI&zy.m3u8
游戏风云,http://110.42.52.180:6688/live/zb.php?token=ZY-d681MC26FY8gaA9eRnKvCD8UGkWbMaa/w/lIFxLYKO6BCFOrHCeDX5qiv57RV7abPvqv8aU&zy.m3u8
法治天地,http://110.42.52.180:6688/live/zb.php?token=ZY-65a2vcBK7343vBJyTonE2%2BiNOGFtUBR2moIvQeqjvW5m90HTUdwqz29JCqbwREPU5OcyIB4&zy.m3u8
上视东方影视,http://110.42.52.180:6688/live/zb.php?token=ZY-89ffzhasuWNN2ilwPMGlH8E9PiJH706%2BnOmkzhg3zadeH0LjGJDIzi2mSv5wud8FvtYqufmpew&zy.m3u8

山西经济,http://110.42.52.180:6688/live/zb.php?token=ZY-3f83/nxx/XKj23PP8WQplaQ2wwQDgn2NFJfFGGVcwk9T1g/jp0G%2BA5tuj66WHenH2OcTjHA&zy.m3u8
山西影视,http://110.42.52.180:6688/live/zb.php?token=ZY-5ce47MH7yJdmmNDNpjhF7Rss6MeDgWe505QgRIzcuzT9TFrTxQAbrxUbm9thPNkVwMdlY78&zy.m3u8
山西社会与法治,http://110.42.52.180:6688/live/zb.php?token=ZY-5365aMtgnb5Igqzq0N/%2B4s/H8vjREP7b1yXde%2BvxvvIiVAjRon5puryCONTJv9dbO6DNYR0&zy.m3u8
山西文体生活,http://110.42.52.180:6688/live/zb.php?token=ZY-16c6VwUl/uLRuK%2B1upTlN%2BD6pCpYw7ymBHsfCejIMPJWiDavxhPRgCabXAEc0mbn9faZZCM&zy.m3u8
山西黄河,http://110.42.52.180:6688/live/zb.php?token=ZY-fc7cJNV7brO6p7xkBQ8NKLdsEl2CD6uIsn5ychQ65r4bcOgCNencbKeyaw0WTYhqU8rvEMg&zy.m3u8
太原新闻综合,http://110.42.52.180:6688/live/zb.php?token=ZY-e449UqgxDp49egQQW0Ucf%2Bijmbot0CNCYEztzbQVF1y6DGVGWj4OC6%2BnyptT%2BrgWuHDaOLB3ktq5&zy.m3u8
